Time,HeatMWh,Electricity,ProductionCost,FuelConsumption,Co2Emissions
17.09.2025 15:00,0,0,0,0,0,
17.09.2025 16:00,0,0,0,0,0,
17.09.2025 17:00,0,0,0,0,0,
17.09.2025 18:00,0,0,0,0,0,
17.09.2025 19:00,0,0,0,0,0,
17.09.2025 20:00,0,0,0,0,0,
17.09.2025 21:00,0,0,0,0,0,
17.09.2025 22:00,0,0,0,0,0,
17.09.2025 23:00,0,0,0,0,0,
18.09.2025 00:00,3.0599999999999996,2.251698113207547,97.63132075471698,1.0507924528301886,131.06037735849057,
18.09.2025 01:00,3.0799999999999996,2.2664150943396226,237.24716981132076,1.0576603773584905,131.91698113207548,
18.09.2025 02:00,2.83,2.082452830188679,296.60535849056606,0.971811320754717,121.20943396226414,
18.09.2025 03:00,0,0,0,0,0,
18.09.2025 04:00,0,0,0,0,0,
18.09.2025 05:00,0,0,0,0,0,
18.09.2025 06:00,0,0,0,0,0,
18.09.2025 07:00,0,0,0,0,0,
18.09.2025 08:00,0,0,0,0,0,
18.09.2025 09:00,0,0,0,0,0,
18.09.2025 10:00,0,0,0,0,0,
18.09.2025 11:00,0,0,0,0,0,
18.09.2025 12:00,0,0,0,0,0,
18.09.2025 13:00,0,0,0,0,0,
18.09.2025 14:00,0,0,0,0,0,
18.09.2025 15:00,3.28,2.413584905660377,327.7400754716981,1.1263396226415094,140.48301886792453,
18.09.2025 16:00,0,0,0,0,0,
18.09.2025 17:00,0,0,0,0,0,
18.09.2025 18:00,0,0,0,0,0,
18.09.2025 19:00,3.38,2.4871698113207543,343.47815094339626,1.1606792452830188,144.76603773584904,
18.09.2025 20:00,0,0,0,0,0,
18.09.2025 21:00,0,0,0,0,0,
18.09.2025 22:00,0,0,0,0,0,
18.09.2025 23:00,0,0,0,0,0,
19.09.2025 00:00,0,0,0,0,0,
19.09.2025 01:00,0,0,0,0,0,
19.09.2025 02:00,0,0,0,0,0,
19.09.2025 03:00,0,0,0,0,0,
19.09.2025 04:00,0,0,0,0,0,
19.09.2025 05:00,0,0,0,0,0,
19.09.2025 06:00,0,0,0,0,0,
19.09.2025 07:00,0,0,0,0,0,
19.09.2025 08:00,0,0,0,0,0,
19.09.2025 09:00,0,0,0,0,0,
19.09.2025 10:00,0,0,0,0,0,
19.09.2025 11:00,0,0,0,0,0,
19.09.2025 12:00,0,0,0,0,0,
19.09.2025 13:00,0,0,0,0,0,
19.09.2025 14:00,0,0,0,0,0,
19.09.2025 15:00,0,0,0,0,0,
19.09.2025 16:00,0,0,0,0,0,
19.09.2025 17:00,0,0,0,0,0,
19.09.2025 18:00,0,0,0,0,0,
19.09.2025 19:00,0,0,0,0,0,
19.09.2025 20:00,0,0,0,0,0,
19.09.2025 21:00,0,0,0,0,0,
19.09.2025 22:00,0,0,0,0,0,
19.09.2025 23:00,0,0,0,0,0,
20.09.2025 00:00,0,0,0,0,0,
20.09.2025 01:00,0,0,0,0,0,
20.09.2025 02:00,0,0,0,0,0,
20.09.2025 03:00,0,0,0,0,0,
20.09.2025 04:00,0,0,0,0,0,
20.09.2025 05:00,0,0,0,0,0,
20.09.2025 06:00,0,0,0,0,0,
20.09.2025 07:00,0,0,0,0,0,
20.09.2025 08:00,4.08,3.0022641509433963,192.899320754717,1.401056603773585,174.74716981132076,
20.09.2025 09:00,0,0,0,0,0,
20.09.2025 10:00,0,0,0,0,0,
20.09.2025 11:00,0,0,0,0,0,
20.09.2025 12:00,0,0,0,0,0,
20.09.2025 13:00,0,0,0,0,0,
20.09.2025 14:00,0,0,0,0,0,
20.09.2025 15:00,3.3300000000000005,2.450377358490566,130.72449056603776,1.1435094339622642,142.6245283018868,
20.09.2025 16:00,0,0,0,0,0,
20.09.2025 17:00,0,0,0,0,0,
20.09.2025 18:00,0,0,0,0,0,
20.09.2025 19:00,0,0,0,0,0,
20.09.2025 20:00,0,0,0,0,0,
20.09.2025 21:00,0,0,0,0,0,
20.09.2025 22:00,0,0,0,0,0,
20.09.2025 23:00,0,0,0,0,0,
21.09.2025 00:00,0,0,0,0,0,
21.09.2025 01:00,0,0,0,0,0,
21.09.2025 02:00,0,0,0,0,0,
21.09.2025 03:00,0,0,0,0,0,
21.09.2025 04:00,0,0,0,0,0,
21.09.2025 05:00,0,0,0,0,0,
21.09.2025 06:00,0,0,0,0,0,
21.09.2025 07:00,0,0,0,0,0,
21.09.2025 08:00,0,0,0,0,0,
21.09.2025 09:00,0,0,0,0,0,
21.09.2025 10:00,0,0,0,0,0,
21.09.2025 11:00,0,0,0,0,0,
21.09.2025 12:00,0,0,0,0,0,
21.09.2025 13:00,0,0,0,0,0,
21.09.2025 14:00,0,0,0,0,0,
21.09.2025 15:00,0,0,0,0,0,
21.09.2025 16:00,0,0,0,0,0,
21.09.2025 17:00,0,0,0,0,0,
21.09.2025 18:00,0,0,0,0,0,
21.09.2025 19:00,0,0,0,0,0,
21.09.2025 20:00,0,0,0,0,0,
21.09.2025 21:00,3.1400000000000006,2.3105660377358492,335.1268679245283,1.0782641509433963,134.4867924528302,
21.09.2025 22:00,3.09,2.27377358490566,228.35683018867925,1.0610943396226415,132.34528301886792,
21.09.2025 23:00,0,0,0,0,0,
22.09.2025 00:00,0,0,0,0,0,
